logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene	regulation
-0.512825910112663	6.70915491501591	-9.54173632155975	3.51783110320226e-18	2.02445764855893e-17	30.10025593654	NR1H3	Down
-0.786156504119995	6.4523103821297	-9.54057563672379	3.54548530150418e-18	2.03979074570437e-17	30.0924868744791	NPTX2	Down
0.430745412152204	4.86356087772189	9.53883322131994	3.58740591243958e-18	2.06332052878433e-17	30.0808246962445	MND1	Up
-0.440200388477315	8.42463997572546	-9.53829790478726	3.60038371630602e-18	2.07019500042113e-17	30.077241934068	NMNAT3	Down
-0.351739740287653	8.95492574170846	-9.5272099838707	3.87993616257631e-18	2.23030043422809e-17	30.0030508141544	ALAD	Down
0.295450428846371	9.89185838267777	9.5255302637885	3.9241275869171e-18	2.255060851827e-17	29.9918145319214	SFT2D1	Up
0.310832545639848	8.56259697368189	9.52484971209587	3.94217418893537e-18	2.26478692448e-17	29.9872622897991	GNPNAT1	Up
0.220109787995795	11.7351897485304	9.5239524845082	3.96609266050831e-18	2.2778799041349e-17	29.9812608910615	NDUFA4	Up
-0.332787098190894	7.40814779589266	-9.52235472401485	4.00904381069917e-18	2.30189352816823e-17	29.9705743093726	DCAF4	Down
-0.352188174129555	10.5853488084107	-9.52195292552883	4.0199175586601e-18	2.30748068451038e-17	29.9678870028702	RNF13	Down
-0.724342710017141	6.74204544091135	-9.52058862613799	4.0570584194916e-18	2.32813801514203e-17	29.9587626412328	SRGAP2	Down
0.40908456862484	9.4246079253725	9.52029555375858	4.06508124557969e-18	2.33207900499468e-17	29.9568026569874	MRPL54	Up
0.324637361202714	7.64547893362366	9.51893714655346	4.10247394929149e-18	2.35286204796297e-17	29.9477183332872	FOXRED1	Up
-0.386248165499558	7.46067484546982	-9.5177675008844	4.13494445872678e-18	2.37081109721034e-17	29.9398967644428	ZNF211	Down
-0.386469070342215	4.78451331517337	-9.51709832284114	4.15363625602646e-18	2.38085203681607e-17	29.9354220590009	EID2B	Down
0.422766076033193	6.15403155603521	9.51602868560521	4.18368845069076e-18	2.39739717407167e-17	29.9282697971704	POP1	Up
0.235952587750869	9.27664503275816	9.51495478201911	4.21407794063557e-18	2.41412614828464e-17	29.9210893315884	PHF10	Up
0.378920848896132	10.4678245951256	9.51378804763944	4.2473431161047e-18	2.43249256249424e-17	29.9132885371517	PET100	Up
-0.597177131166219	4.80326625154492	-9.50961494007464	4.3684748111221e-18	2.5011562531745e-17	29.885390246696	MPPED2	Down
-0.557008509723765	5.93915294798207	-9.50937641702731	4.37550118321571e-18	2.50446889386898e-17	29.8837958073703	PDE8B	Down
-1.11506041642063	7.49347049655053	-9.50704672139338	4.44472243278632e-18	2.54336894764995e-17	29.868223487378	PCP4	Down
-0.837168037489141	9.5912545900509	-9.5069834679938	4.44661695534092e-18	2.543732023078e-17	29.8678007057673	EPHX1	Down
0.335444829568136	10.1603994801347	9.50589449702055	4.47935922391155e-18	2.56173665757298e-17	29.8605222715022	ETFA	Up
0.351943750963211	6.67738499686426	9.50518344259279	4.50086783327558e-18	2.57330840606535e-17	29.8557699259663	GPR1	Up
-0.742835358149556	7.92261081329269	-9.50392116066521	4.53930365876406e-18	2.59454876169674e-17	29.8473337925465	CREB3L1	Down
-0.492539987825848	8.58691028041462	-9.50193593198831	4.60041394497315e-18	2.62873356131101e-17	29.8340669421305	ECHDC3	Down
-0.410424810002635	9.12630770354214	-9.50155891682097	4.61211147448011e-18	2.63467194246759e-17	29.8315475576952	LYRM7	Down
-0.445288408513822	4.77681324641031	-9.50101171340505	4.62914199748801e-18	2.64365257836741e-17	29.827890970471	NCKAP5	Down
0.43686732442551	8.51337952297855	9.50005565970518	4.65904725272545e-18	2.6599786747178e-17	29.8215025186285	GLRX2	Up
-0.335000712747966	7.39736273241672	-9.49765813120907	4.73488900074563e-18	2.70226108939008e-17	29.8054831158914	ZSCAN21	Down
-0.761339675243743	5.24452603842267	-9.49763008235997	4.73578350221028e-18	2.70226108939008e-17	29.8052957134238	LINC01305	Down
-0.485286965544925	10.6971771511401	-9.49577539165257	4.79530544646797e-18	2.73545143693968e-17	29.7929044824803	SEC62	Down
0.343385935896871	7.80962797301575	9.49444731510497	4.83838326765201e-18	2.75924523749601e-17	29.7840321705912	CISD3	Up
-0.463366666463638	8.47099256744489	-9.49413319140957	4.84862838413975e-18	2.7643069703195e-17	29.7819337173996	ZNF430	Down
-0.382834037528062	5.47137021368295	-9.4922635895952	4.91005293016347e-18	2.79853609695483e-17	29.7694447188069	FGF14-AS2	Down
-0.318984671452065	9.13623877105705	-9.48815808351168	5.04766418335111e-18	2.8761570571124e-17	29.7420232836075	KANSL3	Down
0.422823902183448	6.01780596976489	9.48676201817605	5.09532653625845e-18	2.90249582714407e-17	29.7326997931796	ZAP70	Up
-1.20030648309896	7.01337364447075	-9.48627542525823	5.11204397221949e-18	2.91119728381289e-17	29.7294502582483	LOC100130476	Down
-0.91521034721872	7.63190757926147	-9.48573636076315	5.13062778855884e-18	2.92095639581009e-17	29.725850389266	MCOLN3	Down
-0.538579011692363	7.89790329332056	-9.48243274267795	5.24599318707865e-18	2.98579392333645e-17	29.7037906515917	LIPT1	Down
0.237539234483521	11.4625202182117	9.48192330763034	5.2640111417091e-18	2.99520453576165e-17	29.7003892013129	GNAI3	Up
-0.692901310758798	6.81086383611381	-9.48149217286825	5.27930778073599e-18	3.00306186186244e-17	29.697510612315	PGM5-AS1	Down
0.521849492952449	11.4139989804893	9.4795783759829	5.34774431126158e-18	3.04113414523236e-17	29.6847332620841	TUBB3	Up
-0.476565171412028	8.76880273485852	-9.47881308713239	5.37535686780054e-18	3.05597590670677e-17	29.6796241482205	ABCA5	Down
0.245168280820224	10.331724828611	9.47485323099461	5.52051315651903e-18	3.13761597983689e-17	29.6531905732195	CNOT1	Up
-0.518097517515605	7.21361854933827	-9.47462595318999	5.52896170225323e-18	3.14153331959156e-17	29.6516735411067	ABCC4	Down
-0.350910858878281	11.1335880964516	-9.47385816541989	5.55759765450116e-18	3.1569156288427e-17	29.646548826017	HERPUD1	Down
-0.419202776195599	6.10826977394564	-9.47244239052875	5.61078848001755e-18	3.18623341306876e-17	29.6370994633061	BMP6	Down
-0.452902581592889	7.09426950963731	-9.4709469060814	5.66752361376211e-18	3.21754687049014e-17	29.6271187118032	SOGA1	Down
0.302020690646188	10.2911146434992	9.47071185805295	5.67649248607715e-18	3.22173264855005e-17	29.6255500767472	CNPY2	Up
-0.426157346593867	8.93072149648658	-9.4697199609334	5.71449655696233e-18	3.24239057031916e-17	29.6189306472887	FNDC3A	Down
0.265143513496018	7.56805245139902	9.4654436596791	5.88125757682047e-18	3.33607271595537e-17	29.5903959444366	MYBBP1A	Up
-0.487930776783791	8.17535772073646	-9.46530625909383	5.88669518241041e-18	3.3382191669242e-17	29.5894791907222	LGR4	Down
-0.261431570515179	10.2415159016607	-9.46426767003035	5.92795913707195e-18	3.36067506484719e-17	29.582549770177	ADNP	Down
-0.601958660935681	9.46584619687256	-9.46309521098381	5.97488741122395e-18	3.38632866529447e-17	29.5747275449385	SYNE2	Down
-0.677501902758538	6.86375670285999	-9.46242086053186	6.00204570796241e-18	3.4007661732345e-17	29.5702286989375	POLI	Down
0.324332771323092	9.53782403418425	9.4609346887073	6.06233264986737e-18	3.43396104196191e-17	29.5603143450981	VTA1	Up
0.347185833252603	7.90104204613716	9.45883645021361	6.14847430399914e-18	3.48177838005988e-17	29.5463179270036	PIGB	Up
-0.390548945729058	8.77415914157691	-9.45841597110339	6.16588254057257e-18	3.49065722739986e-17	29.543513248748	ECI2	Down
-0.337503492172321	8.89159244634163	-9.45785836725208	6.18904345264079e-18	3.50278691398689e-17	29.5397939994927	CRYZL1	Down
-0.618881697868485	8.92755780749642	-9.45714879440128	6.21864169806765e-18	3.51849831359407e-17	29.5350612369537	CMTM4	Down
0.322659640161276	8.43639606121899	9.45710938910646	6.22028951912881e-18	3.51849831359407e-17	29.534798412765	PES1	Up
