PC1	PC2	Batch	Group
33.0123026132326	-45.4098988433747	GSE13355	NN
40.9186158108947	-43.3583296629637	GSE13355	NN
67.237031302948	-23.9917141981473	GSE13355	NN
65.3214774648818	-48.3460894231765	GSE13355	NN
77.7688845512159	-17.9494464887944	GSE13355	NN
38.2013694962614	-67.9558796120736	GSE13355	NN
24.2883150274397	-52.8901811203842	GSE13355	NN
50.5174997330146	-86.3118579060638	GSE13355	NN
33.8865059259539	-52.5535586341109	GSE13355	NN
64.867207228801	-57.5713384050788	GSE13355	NN
55.8647767841025	-33.1992906572637	GSE13355	NN
24.6767902564977	-62.6694225062301	GSE13355	NN
28.9958409775423	-62.7533833297733	GSE13355	NN
54.1212002186832	-31.1930784026556	GSE13355	NN
43.7702892405563	-40.4660937698795	GSE13355	NN
55.7634489947495	-42.7917174078527	GSE13355	NN
51.0817482378678	-24.8465223872849	GSE13355	NN
58.0834362411725	-50.8249800284531	GSE13355	NN
59.2129688231027	-21.2122228620887	GSE13355	NN
3.42108886119221	-65.1247040878577	GSE13355	NN
63.3540921933547	22.5847169156275	GSE13355	NN
70.925180445597	4.47211846573183	GSE13355	NN
72.2333702707259	42.6773610405658	GSE13355	NN
82.3267548533153	-6.46624832266362	GSE13355	NN
38.1722053269592	-27.3495513844225	GSE13355	NN
69.3618518227967	5.00208729849498	GSE13355	NN
34.8837137055548	-14.2757754499013	GSE13355	NN
71.4283784931756	-8.31499951995093	GSE13355	NN
70.8130717995232	4.91848743724979	GSE13355	NN
65.781914039437	20.5330428392784	GSE13355	NN
50.221420185984	-16.2475622437654	GSE13355	NN
37.917936165903	-29.6592850143626	GSE13355	NN
68.7253550582064	11.2623299923491	GSE13355	NN
61.9840905851437	21.4708732148828	GSE13355	NN
59.8463168763213	13.4339317443148	GSE13355	NN
73.1930314883237	13.3126519163077	GSE13355	NN
64.5344804103351	-20.1167105139881	GSE13355	NN
63.920024937337	-0.0738325237281533	GSE13355	NN
50.6285967904662	-31.1080179593518	GSE13355	NN
53.1760377920142	-20.109337634079	GSE13355	NN
76.7177106800055	-5.62506011324147	GSE13355	NN
66.8937181559	-10.6681397798601	GSE13355	NN
19.5134328253213	-13.48470612164	GSE13355	NN
98.0833142583577	53.8892865789239	GSE13355	NN
19.7250247992491	-92.4352396953879	GSE13355	NN
49.5996630716105	6.28794512730903	GSE13355	NN
133.34010313274	108.521122046481	GSE13355	NN
59.0132157620112	-29.1654488785576	GSE13355	NN
57.8043930212885	-27.0491677426844	GSE13355	NN
42.3764361515128	-67.8710303408921	GSE13355	NN
97.9806571460884	97.1660144193545	GSE13355	NN
119.210231655579	103.906944649139	GSE13355	NN
39.7299458587173	-36.8531821710685	GSE13355	NN
137.059355139935	70.759653806914	GSE13355	NN
57.8393022366753	-47.898298964176	GSE13355	NN
78.198502957316	-9.64392191345943	GSE13355	NN
57.6507993050372	23.3460362371721	GSE13355	NN
67.3617912472448	19.6441600584664	GSE13355	NN
48.8949361540102	-18.1269781559998	GSE13355	NN
59.7993247053118	17.9148976397258	GSE13355	NN
87.113978761103	2.51594578599586	GSE13355	NN
47.3367423422309	-15.5961480790043	GSE13355	NN
34.8364570337597	-50.7367879996405	GSE13355	NN
93.5144724643786	19.8111159109975	GSE13355	NN
-119.975853126646	-55.6807213216546	GSE13355	PP
-34.066041237779	23.4042220869592	GSE13355	PP
-99.1776962084085	-70.1678437831751	GSE13355	PP
-51.4875347366892	15.8755829211333	GSE13355	PP
-65.6846435795952	-77.778742134239	GSE13355	PP
-110.531667418929	-56.4984848957515	GSE13355	PP
-110.45868907562	-119.6998743419	GSE13355	PP
-105.057398449033	-133.562080191267	GSE13355	PP
-44.1722631569018	-22.0522362785514	GSE13355	PP
-77.7110853199342	-32.6852802666845	GSE13355	PP
-122.123553483149	-105.281900033584	GSE13355	PP
