Gene	Drug	ConceptID	IScore	InteractionTypes	Directions	Sources	PMIDs
BCL2	OBLIMERSEN	ncit:C1870	1.909895069227519	inhibitor	INHIBITORY	TTD,TdgClinicalTrial,TALC	
BCL2	FLOXURIDINE	rxcui:4488	0.09094738424892951			NCI	8324744
BCL2	VENETOCLAX	rxcui:1747556	0.1157512163168193	inhibitor	INHIBITORY	CGI,TTD,CIViC,ChEMBL	
BCL2	ANTI-CD19 CAR T CELLS AT101	ncit:C187300	0.4244211264950043	inhibitor	INHIBITORY	TdgClinicalTrial,TALC	
BCL2	HYPERBARIC OXYGEN	ncit:C2351	0.3819790138455038			NCI	16001273,11236678
BCL2	EPIRUBICIN	rxcui:3995	0.03536842720791702			NCI	14503796
BCL2	PREGNANT MARE SERUM GONADOTROPIN	ncit:C29773	0.1157512163168193			NCI	7588311
BCL2	ETOPOSIDE	rxcui:4179	0.03292922533150895			NCI	14977850,11350408
BCL2	BORTEZOMIB	rxcui:358258	0.007489784585205959			CGI	
BCL2	CARBOPLATIN	rxcui:40048	0.007402694066773332			ClearityFoundationBiomarkers	
BCL2	DITIOCARB	ncit:C432	0.3183158448712532			NCI	9726816
BCL2	ANG1005	drugbank:DB18167	0.0374489229260298			TdgClinicalTrial	
BCL2	ERYTHROMYCIN	rxcui:4053	0.05535927736891361			NCI	17007374
BCL2	AI-850	drugbank:DB05842	0.3183158448712532			TTD	
BCL2	ORTATAXEL	ncit:C1867	0.2122105632475021			TdgClinicalTrial	
BCL2	AMINOLEVULINIC ACID	ncit:C234	1.273263379485013			NCI	9868803
BCL2	HEME	iuphar.ligand:4349	0.3183158448712532	agonist	ACTIVATING	GuideToPharmacology	
BCL2	PROTUBOXEPIN A	chembl:CHEMBL1802135	0.6366316897425065			DTC	22595423
BCL2	RIBAVIRIN	rxcui:9344	0.08376732759769821			NCI,PharmGKB	16190549,15902734,21159314
BCL2	ALPHA-TOCOPHEROL	ncit:C74960	0.1157512163168193			NCI	15158075
BCL2	PENTOXIFYLLINE	rxcui:8013	0.0363789536995718			NCI	11836847
BCL2	HYDROQUINONE	rxcui:5509	0.0748978458520596			NCI	10220568
BCL2	C5A	iuphar.ligand:3576	0.181894768497859			NCI	16634840
BCL2	CILENGITIDE	ncit:C1834	0.2546526758970026			NCI	12154028
BCL2	ORAL CONTRACEPTIVE	ncit:C389	0.1157512163168193			NCI	15763593
BCL2	TENIPOSIDE	rxcui:10362	0.1414737088316681			NCI	9842975
BCL2	DIETHYLSTILBESTROL	rxcui:3390	0.03858373877227312			NCI	15545218
BCL2	SAPONIN	ncit:C823	0.2546526758970026			NCI	11090099
BCL2	SR9011	iuphar.ligand:8900	0.1273263379485013	agonist	ACTIVATING	GuideToPharmacology	
BCL2	MASOPROCOL	rxcui:227239	0.02709071020180879			NCI	10203695
BCL2	CISPLATIN	rxcui:2555	0.01732331128551038			NCI,ClearityFoundationBiomarkers	12543810,11350408
BCL2	BEAUVERICIN	ncit:C1011	1.273263379485013			NCI	16297711
BCL2	TRETINOIN	rxcui:10753	0.01399190526906607			NCI	9402847
BCL2	MUC-1 ANTIGEN	ncit:C2407	1.273263379485013			NCI	11903603
BCL2	HYPOXANTHINE	ncit:C29105	0.4244211264950043			NCI	16611376
BCL2	NONSTEROIDAL ANTIINFLAMMATORY DRUG	ncit:C257	0.0748978458520596			NCI	11813903
BCL2	MICELLAR PACLITAXEL	ncit:C29256	1.273263379485013			NCI	10620631
BCL2	PROTEASE INHIBITOR	ncit:C783	0.06366316897425064			NCI	8702992
BCL2	GAMMA-INTERFERON	rxcui:1421648	0.1414737088316681			NCI	8572591
BCL2	SELENIUM	rxcui:9641	0.1123467687780893			NCI	12168721,15485790
BCL2	MITOXANTRONE	rxcui:7005	0.02893780407920484			NCI	11751483
BCL2	APRINOCARSEN	rxcui:2634355	0.9549475346137598			NCI	11906253,11723237
BCL2	APG-2575	chembl:CHEMBL4650374	0.3183158448712532	inhibitor	INHIBITORY	ChEMBL	
BCL2	ESTRAMUSTINE	rxcui:4089	0.1157512163168193			NCI	15869997
